Company,Street,City,St,ZIPCode,IsValid
BEND PAWN & TRADING CO-LAPINE,52504 U.S. 97,LA PINE,OR,97739,No
CARDIOSTART RESALE THRIFT STR,435 W CASCADE AVE,SISTERS,OR,97759,Yes
CASH AMERICA PAWN,2618 W INTERSTATE 20,GRAND PRAIRIE,TX,75052-7031,Yes
DAV THRIFT STORE,2310 ROCK ISLAND RD,IRVING,TX,75060-2409,Yes
NEW THRIFT STORE,3359 W WALNUT ST,GARLAND,TX,75042-7160,Yes
POLK FLEA MARKET,520 S PACIFIC HWY,RICKREALL,OR,97371,Yes
PORTLAND SATURDAY MARKET,2 SW NAITO PKWY,PORTLAND,OR,97204,Yes
POSSIBILITIES THRIFT STORE,U.S. 97,MADRAS,OR,97741,No
SHERWOOD SATURDAY MARKET,22622 SW PINE ST,SHERWOOD,OR,97140,Yes
TRADERS VILLAGE GRAND PRAIRIE,2602 MAYFIELD RD,GRAND PRAIRIE,TX,75052-7246,Yes
TRASH TO TREASURE,4432 SANTIAM HIGHWAY,SWEET HOME,OR,97386,No
